,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,,,,,,,,
Season,Age,Tm,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TK,GV,Awards
2013-14,18,FLA,NHL,54,8,16,24,-3,10,5,3,0,1,13,3,0,87,9.2,134,923,17:06,400,419,48.8,27,16,30,17,Calder-16
2014-15,19,FLA,NHL,71,16,20,36,-4,16,13,3,0,3,16,4,0,123,13.0,199,1242,17:30,462,540,46.1,35,35,42,27,Selke-38
2015-16,20,FLA,NHL,66,28,31,59,18,8,18,9,1,8,23,7,1,171,16.4,255,1282,19:26,569,587,49.2,39,43,45,29,Byng-2Selke-6
2016-17,21,FLA,NHL,61,21,31,52,13,10,18,3,0,5,20,11,0,142,14.8,226,1184,19:24,476,547,46.5,30,39,49,30,Byng-13Selke-17
2017-18,22,FLA,NHL,79,27,51,78,9,14,17,5,5,3,39,12,0,256,10.5,376,1744,22:04,908,789,53.5,67,30,82,63,Byng-3Selke-4
2018-19,23,FLA,NHL,82,35,61,96,-3,8,22,13,0,5,42,18,1,206,17.0,317,1833,22:21,1041,898,53.7,61,28,100,69,AS-6Byng-1Hart-16Selke-5
2019-20,24,FLA,NHL,66,20,42,62,2,18,13,7,0,2,28,13,1,172,11.6,267,1321,20:01,653,550,54.3,35,21,51,52,Byng-9Selke-11
2020-21,25,FLA,NHL,2,0,3,3,3,2,0,0,0,0,2,1,0,7,0.0,10,41,20:32,28,18,60.9,1,2,2,2,
Career,,8 yrs,NHL,481,155,255,410,35,86,106,43,6,27,183,69,3,1164,13.3,1784,9570,19:54,4537,4348,51.1,295,214,401,289,
